Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
106	-699041568	5	0	3	263	33	0.879599	0.494361	0.000000	0.010033	0.011278	0.000000	0.000000	0.000000	0.000000	-0.011278	0.000000	0.988722	0.000000	-0.001107	0.494361	
107	-2062839224	5	24	101	165	9	0.632107	0.673787	0.192000	0.418060	0.379699	0.671660	1.915392	1.000000	0.179104	0.347573	0.080268	0.620301	0.727273	0.034127	0.673787	
108	-394473206	5	0	3	263	33	0.879599	0.494361	0.000000	0.010033	0.011278	0.000000	0.000000	0.000000	0.000000	-0.011278	0.000000	0.988722	0.000000	-0.001107	0.494361	
109	-59017440	5	24	100	166	9	0.635452	0.675666	0.193548	0.414716	0.375940	0.673693	1.934545	1.000000	0.180451	0.351333	0.080268	0.624060	0.727273	0.034496	0.675666	
110	-2105937666	5	25	120	146	8	0.571906	0.653224	0.172414	0.484950	0.451128	0.644835	1.679293	1.000000	0.163399	0.306448	0.083612	0.548872	0.757576	0.030089	0.653224	
111	1959189021	5	0	3	263	33	0.879599	0.494361	0.000000	0.010033	0.011278	0.000000	0.000000	0.000000	0.000000	-0.011278	0.000000	0.988722	0.000000	-0.001107	0.494361	
112	322002690	5	23	127	139	10	0.541806	0.609763	0.153333	0.501672	0.477444	0.603495	1.459795	1.000000	0.143750	0.219526	0.076923	0.522556	0.696970	0.021555	0.609763	
113	855349201	5	0	3	263	33	0.879599	0.494361	0.000000	0.010033	0.011278	0.000000	0.000000	0.000000	0.000000	-0.011278	0.000000	0.988722	0.000000	-0.001107	0.494361	
114	1160138126	5	25	101	165	8	0.635452	0.688938	0.198413	0.421405	0.379699	0.685511	1.995200	1.000000	0.186567	0.377877	0.083612	0.620301	0.757576	0.037102	0.688938	
115	-1324903069	5	25	114	152	8	0.591973	0.664502	0.179856	0.464883	0.428571	0.657952	1.767677	1.000000	0.170068	0.329004	0.083612	0.571429	0.757576	0.032304	0.664502	
116	-453116790	5	0	3	263	33	0.879599	0.494361	0.000000	0.010033	0.011278	0.000000	0.000000	0.000000	0.000000	-0.011278	0.000000	0.988722	0.000000	-0.001107	0.494361	
